cluster_id,EMUB_reg_1990_1995,EMUB_reg_1995_2000,EMUB_reg_2000_2005,EMUB_reg_2005_2010,EMUB_reg_2010_2015,EMUB_reg_2015_2020,PMB_reg_1990_1995,PMB_reg_1995_2000,PMB_reg_2000_2005,PMB_reg_2005_2010,PMB_reg_2010_2015,PMB_reg_2015_2020,PUB_reg_1990_1995,PUB_reg_1995_2000,PUB_reg_2000_2005,PUB_reg_2005_2010,PUB_reg_2010_2015,PUB_reg_2015_2020,age_18_25_reg_1990_1995,age_18_25_reg_1995_2000,age_18_25_reg_2000_2005,age_18_25_reg_2005_2010,age_18_25_reg_2010_2015,age_18_25_reg_2015_2020,age_26_40_reg_1990_1995,age_26_40_reg_1995_2000,age_26_40_reg_2000_2005,age_26_40_reg_2005_2010,age_26_40_reg_2010_2015,age_26_40_reg_2015_2020,age_41_55_reg_1990_1995,age_41_55_reg_1995_2000,age_41_55_reg_2000_2005,age_41_55_reg_2005_2010,age_41_55_reg_2010_2015,age_41_55_reg_2015_2020,age_56_69_reg_1990_1995,age_56_69_reg_1995_2000,age_56_69_reg_2000_2005,age_56_69_reg_2005_2010,age_56_69_reg_2010_2015,age_56_69_reg_2015_2020,crime_main_y_reg_1990_1995,crime_main_y_reg_1995_2000,crime_main_y_reg_2000_2005,crime_main_y_reg_2005_2010,crime_main_y_reg_2010_2015,crime_main_y_reg_2015_2020,disp_inc_reg_1990_1995,disp_inc_reg_1995_2000,disp_inc_reg_2000_2005,disp_inc_reg_2005_2010,disp_inc_reg_2010_2015,disp_inc_reg_2015_2020,emp_reg_1990_1995,emp_reg_1995_2000,emp_reg_2000_2005,emp_reg_2005_2010,emp_reg_2010_2015,emp_reg_2015_2020,grund_reg_1990_1995,grund_reg_1995_2000,grund_reg_2000_2005,grund_reg_2005_2010,grund_reg_2010_2015,grund_reg_2015_2020,gym_erhv_reg_1990_1995,gym_erhv_reg_1995_2000,gym_erhv_reg_2000_2005,gym_erhv_reg_2005_2010,gym_erhv_reg_2010_2015,gym_erhv_reg_2015_2020,lvu_reg_1990_1995,lvu_reg_1995_2000,lvu_reg_2000_2005,lvu_reg_2005_2010,lvu_reg_2010_2015,lvu_reg_2015_2020,mean_sqm_reg_1990_1995,mean_sqm_reg_1995_2000,mean_sqm_reg_2000_2005,mean_sqm_reg_2005_2010,mean_sqm_reg_2010_2015,mean_sqm_reg_2015_2020,mig_in_reg_1990_1995,mig_in_reg_1995_2000,mig_in_reg_2000_2005,mig_in_reg_2005_2010,mig_in_reg_2010_2015,mig_in_reg_2015_2020,mig_out_reg_1990_1995,mig_out_reg_1995_2000,mig_out_reg_2000_2005,mig_out_reg_2005_2010,mig_out_reg_2010_2015,mig_out_reg_2015_2020,ool_reg_1990_1995,ool_reg_1995_2000,ool_reg_2000_2005,ool_reg_2005_2010,ool_reg_2010_2015,ool_reg_2015_2020,public_housing_reg_1990_1995,public_housing_reg_1995_2000,public_housing_reg_2000_2005,public_housing_reg_2005_2010,public_housing_reg_2010_2015,public_housing_reg_2015_2020,unemp_reg_1990_1995,unemp_reg_1995_2000,unemp_reg_2000_2005,unemp_reg_2005_2010,unemp_reg_2010_2015,unemp_reg_2015_2020,EMUB_start_value,EMUB_end_value,PMB_start_value,PMB_end_value,PUB_start_value,PUB_end_value,age_18_25_start_value,age_18_25_end_value,age_26_40_start_value,age_26_40_end_value,age_41_55_start_value,age_41_55_end_value,age_56_69_start_value,age_56_69_end_value,crime_main_y_start_value,crime_main_y_end_value,disp_inc_start_value,disp_inc_end_value,emp_start_value,emp_end_value,grund_start_value,grund_end_value,gym_erhv_start_value,gym_erhv_end_value,lvu_start_value,lvu_end_value,mean_sqm_start_value,mean_sqm_end_value,mig_in_start_value,mig_in_end_value,mig_out_start_value,mig_out_end_value,ool_start_value,ool_end_value,public_housing_start_value,public_housing_end_value,unemp_start_value,unemp_end_value,EMUB_std_1990_1995,EMUB_std_1995_2000,EMUB_std_2000_2005,EMUB_std_2005_2010,EMUB_std_2010_2015,EMUB_std_2015_2020,PMB_std_1990_1995,PMB_std_1995_2000,PMB_std_2000_2005,PMB_std_2005_2010,PMB_std_2010_2015,PMB_std_2015_2020,PUB_std_1990_1995,PUB_std_1995_2000,PUB_std_2000_2005,PUB_std_2005_2010,PUB_std_2010_2015,PUB_std_2015_2020,age_18_25_std_1990_1995,age_18_25_std_1995_2000,age_18_25_std_2000_2005,age_18_25_std_2005_2010,age_18_25_std_2010_2015,age_18_25_std_2015_2020,age_26_40_std_1990_1995,age_26_40_std_1995_2000,age_26_40_std_2000_2005,age_26_40_std_2005_2010,age_26_40_std_2010_2015,age_26_40_std_2015_2020,age_41_55_std_1990_1995,age_41_55_std_1995_2000,age_41_55_std_2000_2005,age_41_55_std_2005_2010,age_41_55_std_2010_2015,age_41_55_std_2015_2020,age_56_69_std_1990_1995,age_56_69_std_1995_2000,age_56_69_std_2000_2005,age_56_69_std_2005_2010,age_56_69_std_2010_2015,age_56_69_std_2015_2020,crime_main_y_std_1990_1995,crime_main_y_std_1995_2000,crime_main_y_std_2000_2005,crime_main_y_std_2005_2010,crime_main_y_std_2010_2015,crime_main_y_std_2015_2020,disp_inc_std_1990_1995,disp_inc_std_1995_2000,disp_inc_std_2000_2005,disp_inc_std_2005_2010,disp_inc_std_2010_2015,disp_inc_std_2015_2020,emp_std_1990_1995,emp_std_1995_2000,emp_std_2000_2005,emp_std_2005_2010,emp_std_2010_2015,emp_std_2015_2020,grund_std_1990_1995,grund_std_1995_2000,grund_std_2000_2005,grund_std_2005_2010,grund_std_2010_2015,grund_std_2015_2020,gym_erhv_std_1990_1995,gym_erhv_std_1995_2000,gym_erhv_std_2000_2005,gym_erhv_std_2005_2010,gym_erhv_std_2010_2015,gym_erhv_std_2015_2020,lvu_std_1990_1995,lvu_std_1995_2000,lvu_std_2000_2005,lvu_std_2005_2010,lvu_std_2010_2015,lvu_std_2015_2020,mean_sqm_std_1990_1995,mean_sqm_std_1995_2000,mean_sqm_std_2000_2005,mean_sqm_std_2005_2010,mean_sqm_std_2010_2015,mean_sqm_std_2015_2020,mig_in_std_1990_1995,mig_in_std_1995_2000,mig_in_std_2000_2005,mig_in_std_2005_2010,mig_in_std_2010_2015,mig_in_std_2015_2020,mig_out_std_1990_1995,mig_out_std_1995_2000,mig_out_std_2000_2005,mig_out_std_2005_2010,mig_out_std_2010_2015,mig_out_std_2015_2020,ool_std_1990_1995,ool_std_1995_2000,ool_std_2000_2005,ool_std_2005_2010,ool_std_2010_2015,ool_std_2015_2020,public_housing_std_1990_1995,public_housing_std_1995_2000,public_housing_std_2000_2005,public_housing_std_2005_2010,public_housing_std_2010_2015,public_housing_std_2015_2020,unemp_std_1990_1995,unemp_std_1995_2000,unemp_std_2000_2005,unemp_std_2005_2010,unemp_std_2010_2015,unemp_std_2015_2020
101_1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
101_10,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1
101_100,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0
101_1000,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
101_1001,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
101_1002,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1
101_1003,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
101_1004,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1
101_1005,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1
101_1006,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1
